Amp,t
57.0,0.0
532.5282581475767,0.001
350.89262614623664,0.002
-236.8926261462367,0.003
-418.5282581475768,0.004
58.99999999999988,0.005
539.5282581475769,0.006
361.8926261462367,0.007
-219.8926261462364,0.008
-399.5282581475766,0.009000000000000001
,0.01
555.5282581475767,0.011
374.89262614623607,0.012
-213.89262614623772,0.013000000000000001
-395.5282581475769,0.014
76.99999999999963,0.015
548.5282581475767,0.016
361.89262614623544,0.017
-228.8926261462376,0.018000000000000002
-414.52825814757693,0.019
57.99999999999951,0.02
533.5282581475772,0.021
350.89262614623703,0.022
-237.89262614623613,0.023
-418.5282581475764,0.024
61.000000000001165,0.025
541.5282581475777,0.026000000000000002
364.89262614623715,0.027
-218.892626146236,0.028
-399.528258147577,0.029
,0.03
554.5282581475765,0.031
374.8926261462372,0.032
-213.8926261462388,0.033
-397.5282581475759,0.034
76.0000000000027,0.035
547.5282581475776,0.036000000000000004
361.89262614623726,0.037
-228.89262614623578,0.038
-414.5282581475771,0.039
60.99999999999902,0.04
536.5282581475776,0.041
352.89262614623453,0.042
-233.89262614623857,0.043000000000000003
-414.5282581475771,0.044
61.9999999999989,0.045
541.5282581475765,0.046
365.8926261462375,0.047
-217.8926261462385,0.048
-398.528258147576,0.049
,0.05
557.5282581475775,0.051000000000000004
376.89262614623186,0.052000000000000005
-211.8926261462384,0.053
-397.5282581475772,0.054
76.0000000000022,0.055
548.5282581475764,0.056
363.8926261462348,0.057
-227.8926261462354,0.058
-413.52825814757614,0.059000000000000004
58.99999999999853,0.06
534.5282581475774,0.061
351.8926261462378,0.062
-235.89262614623817,0.063
-417.5282581475773,0.064
59.00000000000196,0.065
540.5282581475785,0.066
362.892626146235,0.067
-220.89262614624096,0.068
-401.5282581475762,0.069
,0.07
554.5282581475774,0.07100000000000001
373.89262614623226,0.07200000000000001
-214.89262614623226,0.073
-399.52825814757733,0.074
72.00000000000172,0.075
542.5282581475763,0.076
358.8926261462352,0.077
-231.892626146235,0.078
-417.52825814757625,0.079
55.99999999999804,0.08
529.5282581475773,0.081
346.8926261462325,0.082
-239.89262614623777,0.083
-421.52825814757523,0.084
56.00000000000147,0.085
536.5282581475783,0.08600000000000001
359.8926261462297,0.08700000000000001
-222.89262614623482,0.088
-402.5282581475785,0.089
,0.09
552.5282581475772,0.091
372.8926261462384,0.092
-215.89262614623755,0.093
-398.5282581475775,0.094
73.00000000000122,0.095
545.5282581475783,0.096
359.8926261462356,0.097
-229.89262614624033,0.098
-414.5282581475764,0.099
59.000000000004654,0.1
534.5282581475772,0.101
353.89262614623283,0.10200000000000001
-232.89262614624312,0.10300000000000001
-413.5282581475732,0.10400000000000001
64.00000000000098,0.105
544.5282581475781,0.106
369.8926261462416,0.107
-213.89262614623442,0.108
-394.5282581475765,0.109
84.0000000000044,0.11
560.5282581475792,0.111
379.8926261462388,0.112
-205.8926261462372,0.113
-389.52825814757546,0.114
83.00000000000784,0.115
556.5282581475759,0.116
369.892626146236,0.117
-219.89262614623993,0.11800000000000001
-406.5282581475744,0.11900000000000001
66.99999999999706,0.12
542.5282581475769,0.121
358.8926261462332,0.122
-228.89262614623124,0.123
-410.52825814757773,0.124
67.0000000000005,0.125
546.5282581475781,0.126
370.89262614623044,0.127
-212.89262614623402,0.128
-391.52825814757665,0.129
85.00000000000392,0.13
560.5282581475791,0.131
379.8926261462277,0.132
-208.8926261462368,0.133
-393.5282581475756,0.134
78.00000000000735,0.135
549.5282581475801,0.136
364.8926261462364,0.137
-226.8926261462396,0.138
-413.52825814757455,0.139
61.00000000001078,0.14
534.5282581475813,0.14100000000000001
352.8926261462336,0.14200000000000002
-235.89262614624232,0.14300000000000002
-417.52825814757347,0.14400000000000002
59.0,0.145
538.5282581475735,0.146
359.8926261462423,0.147
-223.89262614623362,0.148
-402.5282581475768,0.149
74.00000000000342,0.15
551.5282581475745,0.151
371.8926261462396,0.152
-215.8926261462364,0.153
-399.52825814757574,0.154
73.00000000000686,0.155
545.5282581475756,0.156
357.8926261462368,0.157
-234.8926261462392,0.158
-418.5282581475747,0.159
55.99999999999608,0.16
530.5282581475767,0.161
348.892626146234,0.162
-239.89262614624198,0.163
-421.52825814757364,0.164
55.99999999999951,0.165
534.5282581475777,0.166
357.89262614623124,0.167
-224.8926261462447,0.168
-402.5282581475726,0.169
75.00000000000294,0.17
552.5282581475788,0.171
371.89262614622845,0.17200000000000001
-215.8926261462475,0.17300000000000001
-399.5282581475715,0.17400000000000002
74.00000000000637,0.17500000000000002
546.5282581475755,0.176
361.8926261462372,0.177
-229.89262614622731,0.178
-416.52825814757927,0.179
55.999999999995595,0.18
531.5282581475765,0.181
347.8926261462344,0.182
-239.8926261462301,0.183
-421.52825814757813,0.184
56.99999999999902,0.185
537.5282581475776,0.186
359.89262614623163,0.187
-222.89262614623283,0.188
-402.5282581475771,0.189
75.00000000000246,0.19
551.5282581475786,0.191
370.89262614622885,0.192
-217.8926261462356,0.193
-403.528258147576,0.194
70.00000000000588,0.195
545.5282581475797,0.196
358.89262614622606,0.197
-230.8926261462384,0.198
-417.528258147575,0.199
55.000000000009315,0.2
530.5282581475808,0.201
346.8926261462348,0.202
-239.89262614624118,0.203
-421.5282581475739,0.20400000000000001
55.00000000001274,0.20500000000000002
534.5282581475818,0.20600000000000002
358.89262614622055,0.20700000000000002
-224.89262614625545,0.20800000000000002
-403.5282581475773,0.209
73.00000000000196,0.21
552.5282581475785,0.211
372.89262614622925,0.212
-214.89262614622368,0.213
-398.5282581475806,0.214
